YEAR,CONF ID,CONF,CONF TYPE,GAMES,W,L,WIN%,BADJ EM,BADJ O,BADJ D,BARTHAG,EFG%,EFGD%,TOV%,TOV%D,ORB%,DRB%,FTR,FTRD,2PT%,2PT%D,3PT%,3P%TD,BADJ T,WAB
2023,21,NEC,LOW,268,108,160,40.29850746,-15.4,94.4,109.8,0.1492,48.5,51.5,19.3,19.5,27.2,69.8,29.4,30.8,47.7,50.9,33.3,35.1,68,-14.2
2023,22,OVC,LOW,294,128,166,43.53741497,-10.2,98.4,108.6,0.2441,49.7,51.4,18.1,18.1,27.1,71.2,34.2,35,48.6,51,34.5,34.7,69.6,-12.6
2023,24,P12,HIGH,393,214,179,54.45292621,11.4,107.9,96.5,0.783,49.9,47.9,18.5,18.2,30,71.2,31.1,28.8,49.6,47.3,33.6,32.7,67.7,-2.1
2023,25,Pat,LOW,311,143,168,45.9807074,-7.8,99,106.8,0.2954,51.5,51.6,18.4,17.8,25.4,73.6,27.5,28.9,50.8,51.3,35.2,34.6,66.9,-12.5
2023,26,SB,MID,419,213,206,50.8353222,0,102.6,102.6,0.5001,49.3,49.4,17.4,18.3,29.3,71,31.6,32.1,49.2,48.7,32.9,33.8,67.7,-8.4
2023,27,SC,MID,302,139,163,46.02649007,-4,102.6,106.6,0.3913,51.2,51.6,17.6,17.1,27.9,72.3,31.4,31.6,51.1,51.6,34.2,34.4,67.5,-10.9
2023,28,SEC,HIGH,460,272,188,59.13043478,12.9,109.4,96.5,0.8077,49.7,47.8,18,18.8,32.5,70,34.4,32.4,50.3,48.1,32.6,31.6,67.9,-0.5
2023,29,Slnd,LOW,297,121,176,40.74074074,-11.7,99,110.7,0.2156,50.6,53.7,19.7,19.6,30,68.3,32,36.6,49.9,53.6,34.6,36,68.8,-13
2023,30,Sum,LOW,301,140,161,46.51162791,-6.4,101.6,108,0.3313,50.7,51.6,17.1,16,26.2,72.9,30.4,28.9,50.5,51.4,34.1,34.7,67.9,-10.5
2023,31,SWAC,LOW,363,135,228,37.19008264,-12,94.4,106.4,0.1999,46.3,50.4,20.7,20.1,29.6,68.8,34.5,39.5,45.2,50,32.3,34,68.6,-13.4
2023,32,WAC,MID,373,189,184,50.67024129,2.2,103.9,101.7,0.5617,50.1,50.6,19.4,19.5,29.1,71.7,37.5,36.6,49.1,49.9,34.6,34.5,68.8,-6.9
2023,33,WCC,MID,310,170,140,54.83870968,7.8,109.2,101.4,0.7007,53.2,52,17.5,17.5,28.6,73.1,32.6,32.3,52.3,51.1,36.4,35.7,69.5,-4.3
2022,1,A10,MID,436,234,202,53.66972477,4.1,103.6,99.5,0.6141,50.3,49.3,18,18.4,27.4,72.9,29.2,28.5,49.8,48.7,34.1,33.5,67.8,-6.2
2022,2,ACC,HIGH,487,270,217,55.44147844,11.2,109.2,98,0.7765,51.5,50.2,16.9,17.5,28.2,72.8,28.9,26.5,51,49.7,35,34.1,67.4,-2.1
2022,3,AE,LOW,291,134,157,46.04810997,-8.3,98.2,106.5,0.2829,50.2,51.1,17.3,17.3,25.4,73,26.6,27.3,49.1,50.1,34.7,35.1,67.3,-11.2
2022,4,Amer,MID,336,188,148,55.95238095,8.8,105.4,96.6,0.7305,48.8,47.4,18.3,19.4,30.4,70.4,32.2,31,48.2,46.7,33.2,32.3,68.1,-3.5
2022,5,ASun,MID,338,148,190,43.78698225,-4.6,100.8,105.4,0.3756,50.5,51.2,18.3,17.2,26.8,71.4,27.5,28.8,49.8,51.1,34.2,34.3,68,-13.5
2022,6,B10,HIGH,445,261,184,58.65168539,14.2,110.8,96.6,0.8278,51.6,49.1,16.3,16.5,28.1,73.4,30.2,27.5,50.9,48.2,35.1,33.7,67.7,0
2022,7,B12,HIGH,323,203,120,62.84829721,18.3,109.8,91.5,0.8907,50.7,47.8,19.5,21.7,31.5,71.3,31.6,30.9,51.6,48.5,32.9,31,67.6,3.2
2022,8,BE,HIGH,345,203,142,58.84057971,12,108.4,96.4,0.7934,49.7,47.8,17.5,17.9,30.5,71.3,30.5,27.5,49.5,47.1,33.3,32.7,68.6,-0.6
2022,9,BSky,MID,327,151,176,46.17737003,-7.7,99.3,107,0.2983,51,52.1,17.8,17.4,24.4,74.2,33.7,33.6,50.5,51.5,34.6,35.5,68.6,-11.5
2022,10,BSth,LOW,334,143,191,42.81437126,-6.3,98,104.3,0.3291,49,50.6,19.2,18.8,27.1,71.8,31.7,34.1,49.2,51.2,32.5,33.1,67.6,-11.9
2022,11,BW,LOW,289,135,154,46.71280277,-4.4,98.6,103,0.3776,48.7,49.2,19.1,18.4,27,72.8,32.6,31.8,48.5,48.8,32.9,33.4,67.1,-9.2
2022,12,CAA,LOW,305,151,154,49.50819672,-0.6,102.6,103.2,0.4832,50.5,51.3,18.6,18.5,28.3,72.1,29.8,30.8,50.6,51,33.6,34.5,68.4,-8.7
2022,13,CUSA,MID,424,217,207,51.17924528,-0.3,102.1,102.4,0.4907,50.4,50.4,18.2,18.5,27.8,72.1,29.6,29.2,50.2,49.8,33.8,34.4,68.1,-8.2
2022,14,Horz,LOW,356,156,200,43.82022472,-8.3,98.5,106.8,0.2831,50.1,51.3,19.4,18.9,29,69.8,28.7,29.3,50.6,51.3,32.9,34.2,67.4,-12.3
2022,15,Ivy,MID,207,96,111,46.37681159,-4,100.5,104.5,0.3903,51,51.4,18.1,17.8,25.8,73.3,27.1,28.9,50.9,51.6,34.1,34.1,69,-8.8
2022,16,MAAC,LOW,337,170,167,50.44510386,-2.9,99.6,102.5,0.4166,48.4,48.7,18.1,18.1,28.3,71.8,31.4,32.1,47.7,48.3,33.1,32.9,67.8,-9.8
2022,17,MAC,MID,360,174,186,48.33333333,-4.2,101,105.2,0.3846,50.1,50.9,17.9,17.5,28.1,71.3,30.7,30.9,49.8,50.9,33.8,33.8,68.7,-10
2022,18,MEAC,LOW,211,84,127,39.81042654,-11.9,93.4,105.3,0.2014,47,49.6,21.5,21.5,28.7,69,34.4,35.8,46.4,48.8,32,33.9,70.5,-8.7
2022,19,MVC,MID,302,153,149,50.66225166,3.3,104,100.7,0.5891,51.8,50.5,17.6,17.8,24,75.7,28.9,28.3,51.8,50.1,34.5,34.2,67.1,-7.1
2022,20,MWC,MID,338,190,148,56.21301775,7.3,105.1,97.8,0.6957,51.1,49.5,18.1,18.5,25.4,74.3,30.8,29.4,51.2,49.7,33.9,32.8,66.9,-3.7
2022,21,NEC,LOW,288,120,168,41.66666667,-10.9,96.4,107.3,0.2251,48.1,50.6,19,18.7,29.5,68.7,28.3,29.6,48.1,50.7,32.1,33.6,68.2,-12.3
2022,22,OVC,LOW,295,132,163,44.74576271,-4.6,99.2,103.8,0.375,49.6,50.3,19.7,19.2,28.9,70.5,29.5,30.7,49.8,50.8,32.9,33.1,68.5,-8.6
2022,24,P12,HIGH,385,213,172,55.32467532,9.8,106.8,97,0.7522,49.7,48.4,17.7,18,30.2,71.6,30,28.7,49.3,47.9,33.6,32.8,68.1,-2.9
2022,25,Pat,LOW,307,135,172,43.97394137,-10,97.5,107.5,0.2474,50.6,51.4,18.7,17.3,26.5,72.9,27.2,27.7,49.6,50.5,34.9,35.4,67.4,-13
2022,26,SB,MID,320,157,163,49.0625,-2.4,99.7,102.1,0.4313,48.5,49.5,19.8,19.7,29.4,70.2,31.4,31.4,47.9,48.7,33.1,33.9,67.5,-8.2
2022,27,SC,MID,302,157,145,51.98675497,0.9,105.1,104.2,0.5249,52.4,51.8,17.6,16.8,28,72.3,26.8,27.5,52.5,52.1,34.8,34.2,67.2,-7.6
2022,28,SEC,HIGH,454,268,186,59.030837,13.4,108.4,95,0.82,49.9,48.4,19.1,20.4,32.1,70.9,33.3,32.4,50.9,48.8,32.1,31.9,68.9,-0.2
2022,29,Slnd,LOW,227,91,136,40.08810573,-11.8,97.1,108.9,0.21,49.6,52.2,19.9,19.2,28.7,69.4,33.4,34.9,50.1,52.7,32.6,34.3,70.3,-7.5
2022,30,Sum,LOW,291,136,155,46.73539519,-6.1,102.5,108.6,0.3391,52.2,53,16.1,15.5,25,74.7,30.2,30.9,50.7,52,36.3,36.4,68.9,-11.7
2022,31,SWAC,LOW,353,126,227,35.69405099,-12.2,93.9,106.1,0.1964,46.1,50.1,20.3,19.8,28.6,68.4,32.6,37,45.6,49.9,31.5,33.6,68.9,-15.8
2022,32,WAC,MID,377,184,193,48.80636605,-2.1,99.6,101.7,0.4397,48.6,49.1,20,19.9,29.7,70.7,33.5,35.4,48.6,49.4,32.4,32.4,68.5,-12.3
2022,33,WCC,MID,300,165,135,55,6.4,105.1,98.7,0.6735,51.5,49.5,18,17.5,26.5,74.8,28.2,27,51,49,34.9,33.7,69.3,-4.4
2021,1,A10,MID,283,146,137,51.59010601,5.7,103.8,98.1,0.6547,50.4,49.5,18.8,19.1,27.3,72.4,31,31.3,50.8,49.7,33.2,32.7,69,-4.1
2021,2,ACC,HIGH,351,195,156,55.55555556,12.3,108.9,96.6,0.7988,51.3,50.4,18.1,18.7,29.6,71.9,29.7,28.1,50.9,49.4,34.6,34.6,68.6,-1.1
2021,3,AE,LOW,183,87,96,47.54098361,-6.9,96.4,103.3,0.3121,48.8,49.1,19.1,18.8,26.5,73.4,32.3,31.2,48.8,49.1,32.5,32.7,68.3,-7.5
2021,4,Amer,MID,230,126,104,54.7826087,8,103.7,95.7,0.7166,48.3,47.7,19.3,20,30.1,71.2,33.9,34.9,47.4,47.1,33.1,32.4,69,-2.8
2021,5,ASun,MID,187,85,102,45.45454545,-7.4,98.4,105.8,0.3038,51,51.3,19.2,18.6,25.5,72.1,29.1,29.5,50.8,51.5,34.2,34.1,68.4,-8.4
2021,6,B10,HIGH,379,216,163,56.99208443,17.6,111.3,93.7,0.8784,50.7,48.6,16.6,17.2,27.7,73.5,32.5,30.6,50.2,47.8,34.4,33.2,69.1,1.6
2021,7,B12,HIGH,262,153,109,58.39694656,14.4,109.2,94.8,0.8364,50.7,49.2,19,20,31.2,70.7,31.8,31,50,48.5,34.5,33.6,69.2,0.4
2021,8,BE,HIGH,269,148,121,55.01858736,13.2,108.9,95.7,0.8146,50.4,49.1,18,18.3,29.3,71.6,29.8,29,50.2,48.6,33.8,33.3,69,-0.9
2021,9,BSky,MID,223,100,123,44.84304933,-5.6,99,104.6,0.3465,50.2,51.3,18.9,18.2,25.3,73.6,34.4,34.9,49.4,50.5,34.4,35.1,68.8,-7.8
2021,10,BSth,LOW,259,117,142,45.17374517,-7.4,97.7,105.1,0.3004,50.4,50.8,20.2,19.7,28.2,71.4,33.1,33.7,50.3,51,33.6,33.7,68.4,-10
2021,11,BW,LOW,222,107,115,48.1981982,-2.1,99.9,102,0.4409,49.7,50.2,18.9,18.9,27,72.8,30.4,31.8,48.5,49,34.7,34.9,69,-6.8
2021,12,CAA,LOW,178,84,94,47.19101124,-3.9,100.3,104.2,0.3918,49.7,50.4,18.2,17.6,27.4,72.4,31.8,30.2,49.4,50.4,33.5,33.7,68.2,-6.6
2021,13,CUSA,MID,328,170,158,51.82926829,0.6,100.7,100.1,0.5181,50.1,49.7,19.1,19.5,26.7,74,29.2,29.4,49.8,49,33.8,33.9,69.2,-6.4
2021,14,Horz,LOW,278,132,146,47.48201439,-5.5,100.6,106.1,0.3512,51.1,52,18.1,18,29,70.3,29.7,29.7,50.9,51.8,34.3,34.8,69.3,-8.8
2021,16,MAAC,LOW,225,110,115,48.88888889,-7.1,95.4,102.5,0.3037,47.3,47.7,19.4,19.2,27.1,72.6,34.1,35.5,46.7,47,32.3,32.6,68.9,-8.4
2021,17,MAC,MID,260,127,133,48.84615385,0.5,103.7,103.2,0.5153,50.5,50.7,17.6,17.7,29.7,70.5,28.6,28.8,50.1,51,34.1,33.5,70.2,-6.3
2021,18,MEAC,LOW,153,59,94,38.5620915,-13.4,93.2,106.6,0.1757,47.5,50.4,20.9,21.1,27,68,35.1,36.2,46.9,51.4,32.3,32.6,72.2,-8.1
2021,19,MVC,MID,248,126,122,50.80645161,2.6,102.9,100.3,0.5711,51.7,51,18.1,18.3,24.2,75.3,27.5,28,51.8,50.9,34.3,34.1,67.5,-6.3
2021,20,MWC,MID,262,136,126,51.90839695,2.9,102.9,100,0.583,50.6,50.4,19,19.2,26.7,73.3,32.5,32,50.3,50.2,34.1,33.8,68.8,-5.1
2021,21,NEC,LOW,202,95,107,47.02970297,-9.1,97.2,106.3,0.2616,49.6,50.2,19.3,19,29.2,70,31.2,31.6,49.5,50.7,33.2,33,69.9,-8.6
2021,22,OVC,LOW,309,148,161,47.89644013,-6.1,98.2,104.3,0.332,50.8,51.5,20.4,19.9,28.6,71.6,30.2,31.3,51,51.4,33.7,34.4,69.7,-9.8
2021,24,P12,HIGH,323,178,145,55.10835913,13.9,109.3,95.4,0.8271,50.8,49.6,18.1,18.8,28.3,72.4,33,30.8,49.9,48.6,34.9,34.2,68.6,-0.4
2021,25,Pat,LOW,156,80,76,51.28205128,-4,100.3,104.3,0.3899,51.2,51.1,17.9,17.9,26.6,73.4,30.5,30.9,51.2,51.1,34.1,34,69.5,-5.5
2021,26,SB,MID,276,136,140,49.27536232,-6.2,97.9,104.1,0.3301,48.8,49.7,19.5,19.6,29.1,70.4,30.9,29.7,47.8,48.1,33.7,34.8,68.7,-8.7
2021,27,SC,MID,231,121,110,52.38095238,0.3,103.1,102.8,0.507,51.9,51.3,17.9,17.8,26.2,74,27.7,28.7,52.7,52,33.9,33.6,69.8,-6.7
2021,28,SEC,HIGH,356,201,155,56.46067416,13.6,108.4,94.8,0.8236,50.3,48.8,19.7,20.2,32.2,70.2,33.4,31.5,50.5,48.8,33.3,32.5,70.5,-0.7
2021,29,Slnd,LOW,300,121,179,40.33333333,-11.1,95.8,106.9,0.2223,49.8,51.9,21.3,20.3,28.2,70.1,32.7,34.3,49.1,52,34,34.4,71,-10.2
2021,30,Sum,LOW,208,84,124,40.38461538,-5.4,100.1,105.5,0.3539,50.6,52.1,17.9,16.9,24.1,74.9,33,34.3,48.9,50.4,35.8,36.8,69.9,-9.5
2021,31,SWAC,LOW,205,84,121,40.97560976,-17.1,89.8,106.9,0.1191,45.9,49.3,21.8,20.2,28,69.8,36,39,45.4,48.5,31.3,33.8,70.7,-9.2
2021,32,WAC,MID,153,65,88,42.48366013,-4.6,98.6,103.2,0.3708,48.6,50.3,19.4,18.9,27.8,71.1,35,36.8,48.6,50,32.4,33.8,69.6,-6.7
2021,33,WCC,MID,211,118,93,55.92417062,9.2,105.6,96.4,0.74,51.2,50,18.1,18.2,25.7,75.5,31.3,31.1,52,50,33.2,33.4,70.1,-2.1
