YEAR,TEAM NO,TEAM,SEED,ROUND,POWER,PATH,DRAW,WINS,POOL VALUE,POOL S-RANK,NCAA S-RANK
2018,716,Kentucky,5,16,80.8,70.2,-0.03,2,43.3,9,17
2018,715,Lipscomb,15,64,49.7,80.3,0.72,0,1.3,60,59
2018,713,Loyola Chicago,11,4,64,72.4,0.8,4,8.1,34,46
2018,712,Marshall,13,32,54.1,78.3,-0.26,1,1.9,55,54
2018,711,Miami FL,6,64,70.5,69.1,0.7,0,14.6,23,22
2018,710,Michigan,3,2,77.6,66.8,0.39,5,34,15,11
2018,709,Michigan St.,3,32,87,66.4,0.64,1,72.3,4,9
2018,708,Missouri,8,64,68.1,71.2,0.94,0,11,30,32
2018,707,Montana,14,64,59.6,76.8,0.42,0,4.1,44,56
2018,706,Murray St.,12,64,62.7,77.8,-0.81,0,3.9,46,50
2018,705,Nevada,7,16,69,73.3,-0.32,2,9.8,31,27
2018,704,New Mexico St.,12,64,64.5,70.5,1.57,0,9,32,47
2018,703,North Carolina,2,32,81.4,63.7,1.72,1,69.8,5,5
2018,701,North Carolina St.,9,64,62.8,73.2,0.39,0,6.8,36,37
2018,700,Ohio St.,5,32,75.3,67.4,1.29,1,31.6,16,20
2018,699,Oklahoma,10,64,63.4,72,0.66,0,5.9,38,40
2018,698,Penn,16,64,54,82.7,1.09,0,1.8,56,64
2018,697,Providence,10,64,58.8,73.8,0.05,0,3.9,47,35
2018,696,Purdue,2,16,81.7,65,0.91,2,53.4,7,7
2018,695,Radford,16,64,50.6,88.5,-0.42,0,0.8,64,65
2018,694,Rhode Island,7,32,64.8,73.2,-0.28,1,5.5,39,28
2018,693,San Diego St.,11,64,62.8,74.5,0.01,0,6.1,37,45
2018,692,Seton Hall,8,32,69.1,70.4,1.22,1,11.2,28,29
2018,691,South Dakota St.,12,64,57.8,75.8,-0.16,0,2.9,51,49
2018,690,St. Bonaventure,11,64,59.9,75.1,-0.22,0,4,45,42
2018,689,Stephen F. Austin,14,64,54.8,77.9,0.12,0,2.3,54,58
2018,688,Syracuse,11,16,62.1,75,-0.18,2,4.1,43,44
2018,687,TCU,6,64,70.2,71.4,-0.02,0,11.1,29,24
2018,686,Tennessee,3,32,74.8,65.7,1.09,1,25.6,18,10
2018,685,Texas,10,64,65.7,73.7,0.08,0,7.4,35,39
2018,684,Texas A&M,7,16,71.6,67.8,1.57,2,19.5,21,25
2018,683,Texas Southern,16,64,44.9,77.2,2.51,0,1.2,61,68
2018,682,Texas Tech,3,8,79,66.4,0.64,3,37.8,13,12
2018,680,UMBC,16,32,48.3,83.2,0.96,1,1,62,63
2018,679,UNC Greensboro,13,64,58.2,79.5,-0.54,0,2.6,52,52
2018,678,Villanova,1,1,88.8,66,0.04,6,90.9,3,2
2018,677,Virginia,1,64,83.4,65.9,0.12,0,39,11,1
2018,676,Virginia Tech,8,64,66.9,73.4,0.16,0,8.4,33,31
2018,675,West Virginia,5,16,78.3,70.5,-0.17,2,28.1,17,18
2018,674,Wichita St.,4,64,79.5,67.4,0.44,0,37,14,14
2018,673,Wright St.,14,64,51.7,74.1,1.17,0,2.5,53,57
2018,672,Xavier,1,32,77.3,64.8,0.95,1,38.2,12,4
2017,671,Arizona,2,16,83.6,66.9,-0.28,2,44.7,12,6
2017,670,Arkansas,8,32,65.6,71.5,0.83,1,8.6,33,31
2017,669,Baylor,3,16,80.8,68.8,-0.89,2,38.5,15,12
2017,668,Bucknell,13,64,57.3,78.3,-0.26,0,2.6,52,49
2017,667,Butler,4,16,72.5,65.5,1.57,2,21.5,19,13
2017,666,Cincinnati,6,32,76,72.9,-0.48,1,18.4,23,22
2017,665,Creighton,6,64,72.6,73.8,-0.76,0,12.1,26,24
2017,664,Dayton,7,64,65.7,79.2,-2.34,0,4.4,44,28
2017,663,Duke,2,32,85.1,66.5,-0.03,1,53.3,8,7
2017,662,East Tennessee St.,13,64,60,78.8,-0.38,0,2.8,50,50
2017,661,Florida,4,8,79.7,70.4,-1.36,3,30.1,17,14
2017,660,Florida Gulf Coast,14,64,56.5,79.4,-0.3,0,2.2,54,54
2017,659,Florida St.,3,32,80.7,66.9,0.32,1,47.6,9,10
2017,658,Gonzaga,1,2,89.5,64.9,0.88,5,108.5,1,4
2017,657,Iona,14,64,53,83.4,-1.41,0,1.2,56,56
2017,656,Iowa St.,5,32,76.1,72.2,-0.97,1,18.8,22,20
2017,655,Jacksonville St.,15,64,50.5,85.4,-0.73,0,0.9,60,59
2017,654,Kansas,1,8,86,67.4,-1.03,3,57.6,6,2
2017,653,Kansas St.,11,64,67.1,77.5,-1.13,0,6.2,37,44
2017,652,Kent St.,14,64,53.3,81.6,-0.91,0,1.5,55,55
2017,651,Kentucky,2,8,86.8,66.8,-0.22,3,73.9,3,5
2017,650,Louisville,2,32,86.4,67.9,-0.9,1,71.4,4,8
2017,649,Marquette,10,64,64.6,74.4,-0.15,0,5.1,41,39
2017,648,Maryland,6,64,64.6,74.2,-0.88,0,5.4,40,23
2017,647,Miami FL,8,64,70.6,75.7,-0.65,0,9.5,32,30
2017,646,Michigan,7,16,74.1,76.8,-1.51,2,9.9,29,27
2017,645,Michigan St.,9,32,69.6,75.2,-0.21,1,8.3,34,35
2017,644,Middle Tennessee,12,32,64.5,68.8,2.13,1,9.6,31,46
2017,643,Minnesota,5,64,66.6,69.6,0.25,0,11.1,27,18
2017,642,Mount St. Mary's,16,64,46.8,86.4,0.13,0,0.6,64,64
2017,641,Nevada,12,64,64.1,77.2,-0.61,0,4.9,42,45
2017,640,New Mexico St.,14,64,58,79.9,-0.44,0,2.3,53,53
2017,638,North Carolina,1,1,86.6,64.2,1.41,6,77.7,2,3
2017,636,North Dakota,15,64,50.1,82.7,0.04,0,1,58,60
2017,635,Northern Kentucky,15,64,51.3,85.5,-0.76,0,0.9,59,57
2017,634,Northwestern,8,32,65.6,73.2,0.23,1,6.8,35,32
2017,633,Notre Dame,5,32,70.6,69.9,0.11,1,10.7,28,19
2017,632,Oklahoma St.,10,64,71.7,77.2,-1.1,0,9.7,30,37
2017,631,Oregon,3,4,84.8,67.8,-0.25,4,65,5,9
2017,630,Princeton,12,64,60.1,73.3,0.66,0,4.9,43,48
2017,628,Purdue,4,16,82.2,70.1,-1.18,2,46.7,10,16
2017,627,Rhode Island,11,32,67.2,76.2,-0.64,1,6.3,36,42
2017,626,Saint Mary's,7,32,78.3,71,0.47,1,29.4,18,25
2017,625,Seton Hall,9,64,63,71.8,0.81,0,6.2,38,34
2017,624,SMU,6,64,79.7,69.2,0.66,0,33.7,16,21
2017,623,South Carolina,7,4,70.4,72.6,-0.08,4,12.1,25,26
2017,622,South Dakota St.,16,64,48.3,89.2,-0.6,0,0.6,63,62
2017,621,Texas Southern,16,64,48.9,86.3,0.15,0,0.8,61,61
2017,620,Troy,15,64,51.8,83.8,-0.28,0,1.1,57,58
2017,619,UC Davis,16,64,47,85.8,0.28,0,0.7,62,63
2017,618,UCLA,3,16,82.6,68.4,-0.64,2,41.5,14,11
2017,617,UNC Wilmington,12,64,60.7,80.4,-1.66,0,2.6,51,47
2017,616,USC,11,32,60.9,79.3,-1.81,1,3,48,43
2017,615,Vanderbilt,9,64,63.7,72.7,0.54,0,5.5,39,33
2017,614,VCU,10,64,62.9,78.8,-1.64,0,3.2,46,40
2017,613,Vermont,13,64,61.2,80.3,-0.73,0,3,49,51
2017,612,Villanova,1,32,86.6,67.1,-0.8,1,56.7,7,1
2017,611,Virginia,5,32,81.8,70,0.06,1,41.8,13,17
2017,610,Virginia Tech,9,64,62.1,79.3,-1.44,0,3.1,47,36
2017,608,West Virginia,4,16,80.7,67.1,0.62,2,45.1,11,15
2017,607,Wichita St.,10,32,76.3,72,0.66,1,19.3,21,38
2017,606,Winthrop,13,64,55.1,71.6,1.32,0,4,45,52
2017,605,Wisconsin,8,16,76.6,71.6,0.8,2,20.7,20,29
2017,604,Xavier,11,8,70.2,70.5,1.52,3,13.7,24,41
2016,603,Arizona,6,64,80.4,76,-1.44,0,27.5,17,23
